activity_date;moving_time;distance_elevation_gain;gear_id
2020-09-19;04:02:50;111;1740;b8003037
2020-09-20;01:15:39;31;727;b8003037
2020-09-22;03:41:47;67;1802;b7481036
2020-09-22;00:42:57;21;211;b8003037
2020-09-23;01:07:54;19;553;b7481036
2020-09-24;01:02:11;22;320;b7481036
2020-09-25;01:01:42;30;267;b8003037
2020-09-26;07:50:31;171;4016;b8003037
2020-09-27;03:29:48;100;1022;b8003037
2020-09-28;01:02:11;27;499;b8003037
2020-09-29;01:13:01;34;639;b8003037
2020-09-30;01:05:38;32;243;b8003037
2020-10-01;01:13:01;33;713;b8003037
2020-10-03;01:56:55;57;469;b8003037
2020-10-04;04:31:16;104;2673;b8003037
2020-10-05;01:21:21;34;738;b8003037
2020-10-06;01:18:29;38;677;b8003037
2020-10-07;01:09:46;35;354;b8003037
2020-10-08;01:22:05;38;827;b8003037
2020-10-10;07:48:52;145;3823;b7481036
2020-10-12;01:22:36;37;787;b8003037
2020-10-13;01:24:45;38;782;b8003037
2020-10-14;01:10:59;25;367;b8003037
2020-10-16;01:29:28;26;621;b7481036
2020-10-17;07:50:38;191;3584;b8003037
2020-10-18;07:00:40;145;3642;b8003037
2020-10-20;01:00:05;11;290;g7147899
2020-10-21;01:22:28;24;602;b7481036
2020-10-22;01:00:16;28;575;b8003037
2020-10-23;01:00:48;18;465;b7481036
2020-10-24;11:25:57;316;869;b8003037
2020-10-25;05:15:55;122;1679;b8003037
2020-10-27;01:01:51;12;330;g7147899
2020-10-28;01:09:49;21;560;b7481036
2020-10-29;01:00:20;27;448;b8003037
2020-10-30;01:06:04;28;693;b8003037
2020-10-31;07:56:45;164;3054;b7481036
2020-11-01;03:34:09;102;1367;b8003037
2020-11-03;01:01:08;12;379;g7147899
2020-11-04;01:03:11;28;647;b8003037
2020-11-05;01:03:42;29;401;b8003037
2020-11-06;01:02:34;23;350;b7481036
2020-11-07;05:00:55;140;2187;b8003037
2020-11-08;06:04:26;107;2591;b7481036
2020-11-09;00:51:09;11;126;g7147899
2020-11-11;01:00:28;28;315;b8003037
2020-11-12;01:01:09;25;609;b8003037
2020-11-13;01:01:02;22;400;b7481036
2020-11-14;02:53:56;56;1053;b7481036
2020-11-14;00:18:14;7;63;
2020-11-15;06:23:33;158;3063;b8003037
2020-11-16;01:00:33;27;352;b8003037
2020-11-17;01:01:46;32;274;b8003037
2020-11-18;01:01:07;32;288;b8003037
2020-11-19;01:00:15;30;637;b8003037
2020-11-20;01:01:41;22;325;b7481036
2020-11-21;06:16:12;108;2874;b7481036
2020-11-21;00:20:53;8;55;b7481036
2020-11-22;07:17:07;141;2534;b7481036
2020-11-11;01:00:28;28;315;b8003037
2020-11-12;01:01:09;25;609;b8003037
2020-11-13;01:01:02;22;400;b7481036
2020-11-14;02:53:56;56;1053;b7481036
2020-11-14;00:18:14;7;63;
2020-11-15;06:23:33;158;3063;b8003037
2020-11-16;01:00:33;27;352;b8003037
2020-11-17;01:01:46;32;274;b8003037
2020-11-18;01:01:07;32;288;b8003037
2020-11-19;01:00:15;30;637;b8003037
2020-11-20;01:01:41;22;325;b7481036
2020-11-21;06:16:12;108;2874;b7481036
2020-11-21;00:20:53;8;55;b7481036
2020-11-22;07:17:07;141;2534;b7481036
2020-11-24;01:01:44;37;435;
2020-11-25;01:02:04;31;685;
2020-11-26;01:00:38;29;578;
2020-11-27;01:00:42;33;555;
2020-11-28;05:40:03;99;2866;b7481036
2020-11-29;07:59:08;156;3171;b7481036
2020-11-30;01:01:14;37;365;
